Subject,Accuracy,TrainingTime,TestingTime
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
6,23.878040424803,69.181375,1.3827585
7,18.1842672413793,62.9657194,0.4369669
8,25.3365550569555,54.1116488,0.3812828
9,28.2559272491069,53.4989854,0.2864226
10,31.4555420219245,120.7063477,0.8162435
11,22.9733163913596,67.0825209,0.319323
12,16.5940133682069,62.1602836,0.2829959
13,20.1550387596899,99.9477754,0.4712972
14,17.8996952064284,128.3323839,0.6968719
15,20.4195804195804,110.2316915,0.5940294
16,19.9123356293049,109.6873003,0.6390695
17,26.0655737704918,126.8044887,0.7258132
18,18.2559774964838,127.4476634,0.6879404
19,20.4799107142857,65.2287562,0.297727
20,21.8729747245625,53.7770713,0.2508985
21,18.0013689253936,51.7020595,0.2437835
22,24.8534987935195,50.3667626,0.2533097
23,22.7703984819734,56.1248472,0.2590147
24,13.7969401947149,59.6998983,0.280105
25,18.8128772635815,50.5267083,0.2419923
26,23.5466666666667,62.4282556,0.2968071
27,13.3830200907323,54.1394439,0.253615
28,19.136460554371,67.548552,0.2945988
29,19.7127937336815,54.7886718,0.2455914
30,25.9678942398489,54.890413,0.2563131
31,20.9910913140312,63.9763604,0.2786615
32,19.0753125908694,61.200662,0.2726876
33,27.5884665792923,55.6806999,0.2676408
34,22.9695431472081,53.5396006,0.245243
35,17.4458990114881,62.8901892,0.2961526
36,20.0199534419687,49.9247197,0.2383819
37,24.9136035186931,53.7473406,0.2569668
38,21.1024498886414,63.7263561,0.3032473
39,20.0469238790407,63.9555334,0.3006303
40,29.17760279965,40.0056891,0.2014973
