Subject,Accuracy,TrainingTime,TestingTime
1,77.8611632270169,9.3364168,2.705232
2,69.677625279285,50.0059847,43.3123834
3,72.3846849562858,14.4324364,3.0187379
4,61.8345618345618,19.6397209,3.2420548
5,80.810066850177,7.9826095,2.3347569
6,74.1349777321,11.606762,2.8890466
7,74.1918103448276,17.623011,3.7029943
8,81.5671384190542,10.8508273,2.5558243
9,76.7132185774602,11.7360504,2.9879179
10,70.1887941534714,14.9196379,3.2515714
11,63.8373570520966,23.0231027,3.7065518
12,56.8730020342924,18.940358,3.4240818
13,76.7441860465116,10.1383157,2.6374092
14,59.0191188694929,20.0779054,3.6854059
15,74.5454545454545,12.107734,2.7967268
16,67.5641828428303,14.0868173,3.0103716
17,71.9945355191257,18.1577959,3.4604203
18,61.9690576652602,20.4320347,3.2708937
19,68.9453125,19.5093192,3.6604545
20,76.8956578094621,11.7473427,3.0850092
21,68.54893908282,11.4401446,2.9097095
22,71.9751809720786,11.4028702,2.7374339
23,75.079063883618,14.6034348,3.0758368
24,56.1335187760779,17.4688234,3.7716274
25,65.3588195841717,12.9644701,3.1521031
26,70.3466666666667,20.2203466,4.0395339
27,63.5126377187297,14.5583023,3.3454728
28,59.3816631130064,24.2143049,4.149276
29,64.9804177545692,11.0154576,3.3708324
30,72.8674850487882,13.1393642,3.3336433
31,63.5579064587973,17.5837889,4.0114349
32,66.123873218959,18.4932855,3.8784798
33,80.7011795543906,12.0716136,3.0452786
34,69.8604060913706,11.6248756,3.4406497
35,62.2228159230564,21.0630697,4.2905436
36,63.8510142999667,12.6375889,3.2703379
37,71.5362865221489,14.1030619,3.6363128
38,60.6069042316258,20.3103081,4.0325069
39,69.6037539103232,17.5272367,4.0701161
40,79.6150481189851,7.4501264,2.3819514
